Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
226,5,NFL,Cortex,01A,0.214,-0.010,1.137,5896.20,702.85,2.42,15544.36,18399.69,577.77,1.232,0.034,1.719,60.98,0.055,0.101,16.655,70.73,0.976,21.023,0.201,1.199,0.002,0.002
227,5,NFL,Cortex,02A,0.173,0.008,0.833,6921.36,830.80,7.15,20333.45,20781.86,2174.21,1.294,0.052,1.869,64.51,0.047,0.084,19.805,80.96,1.072,24.351,0.871,0.904,0.000,0.003
228,5,NFL,Cortex,03A,0.198,0.016,0.937,5685.38,728.41,0.51,16490.02,18682.83,1122.96,1.057,0.044,1.693,60.28,0.050,0.112,17.052,69.85,0.985,20.975,0.424,0.841,0.000,0.001
229,5,NFL,Cortex,04A,0.237,0.012,0.748,5831.46,709.97,5.46,15151.15,18348.30,199.64,1.020,0.228,1.651,62.67,0.054,0.128,16.936,71.35,1.012,22.702,0.069,0.930,0.000,0.002
230,5,NFL,Cortex,05A,0.219,-0.026,1.146,6541.57,744.45,2.05,16613.09,19809.32,207.72,1.083,1.065,1.805,70.89,0.060,0.174,18.135,76.70,0.953,24.759,0.067,0.709,0.000,0.003
232,5,NFL,Cortex,06A,0.082,-0.003,0.904,6541.17,757.58,0.77,20058.89,19534.64,243.59,1.201,5.533,1.821,65.47,0.048,0.392,18.652,73.70,1.377,22.945,0.074,0.565,0.000,0.003
233,5,NFL,Cortex,07A,0.114,-0.027,1.164,7051.53,822.76,6.61,20530.39,21190.04,492.47,1.286,0.450,2.058,76.84,0.080,0.106,19.425,84.65,1.275,25.352,0.186,0.554,0.000,0.004
234,5,NFL,Cortex,08A,0.133,-0.018,0.842,6059.27,710.84,0.60,17199.26,18652.12,224.79,1.081,0.101,1.756,62.92,0.064,1.534,17.865,68.08,0.980,25.149,0.058,0.460,0.000,0.002
238,5,NFL,Cortex,09A,0.113,-0.019,0.940,6104.00,757.13,1.32,18871.80,19591.00,205.43,1.100,0.088,1.884,66.11,0.048,0.065,17.938,72.25,1.305,25.840,0.058,0.448,0.000,0.001
237,5,NFL,Cortex,10A,0.103,0.003,1.017,5867.32,729.02,2.28,17996.53,18689.40,257.89,1.094,0.217,2.025,128.48,0.044,0.163,17.415,73.75,1.106,23.042,0.107,0.426,0.000,0.002
236,5,NFL,Cortex,11A,0.117,-0.008,0.804,6121.45,727.75,2.25,17586.99,19010.60,266.45,1.059,0.300,1.922,58.93,0.044,0.221,16.600,75.01,1.063,23.159,0.098,0.438,0.000,0.003
